City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,mejit,10.2753,170.8646,27.97,76,14,7.39,MH,1697491572
84,makokou,0.5738,12.8642,21.53,99,100,1.36,GA,1697491572
85,kailua-kona,19.6406,-155.9956,28.61,81,75,4.12,US,1697491016
86,anadyr,64.75,177.4833,-2.72,86,20,3.0,RU,1697491192
87,qianzhou,28.3167,109.7167,16.64,72,1,1.05,CN,1697491572
88,port alfred,-33.5906,26.891,16.77,90,87,1.79,ZA,1697491572
89,lazaro cardenas,17.9583,-102.2,29.56,72,62,2.63,MX,1697491406
90,santyoku,37.4406,129.1708,11.54,55,0,3.22,KR,1697491573
91,christchurch,-43.5333,172.6333,9.39,89,75,5.14,NZ,1697491051
92,el calafate,-50.3408,-72.2768,8.93,57,97,4.59,AR,1697491573
93,nassau,40.7507,-73.5829,17.93,61,40,3.6,US,1697491573
94,happy valley-goose bay,53.3168,-60.3315,4.17,60,20,7.2,CA,1697491398
95,vila franca do campo,37.7167,-25.4333,20.49,99,97,6.2,PT,1697491573
96,quellon,-43.1167,-73.6167,10.45,66,4,5.48,CL,1697491573
97,brookings,44.3114,-96.7984,16.0,47,0,2.57,US,1697491238
98,ishimbay,53.4545,56.0415,11.82,60,5,4.47,RU,1697491574
99,ribeira grande,38.5167,-28.7,19.87,82,20,3.13,PT,1697491179
100,remire-montjoly,4.9167,-52.2667,30.02,70,40,3.09,GF,1697491247
101,holualoa,19.6228,-155.9522,26.54,81,75,4.12,US,1697490952
102,san antonio de pale,-1.4014,5.6325,25.56,82,97,5.93,GQ,1697491283
103,aasiaat,68.7098,-52.8699,-9.65,98,100,2.99,GL,1697491574
104,broken hill,-31.95,141.4333,10.02,50,0,6.5,AU,1697491311
105,shangrao,28.4532,117.9686,15.12,84,0,1.82,CN,1697491574
106,berezovyy,51.6667,135.7,1.53,97,98,1.7,RU,1697491306
107,maintirano,-18.0667,44.0167,26.01,86,18,2.06,MG,1697491574
108,hithadhoo,-0.6,73.0833,27.16,75,11,7.46,MV,1697491255
109,cambridge,43.3601,-80.3127,10.66,76,100,4.63,CA,1697491422
110,lebu,-37.6167,-73.65,11.77,73,0,9.88,CL,1697491040
111,colac,-38.3333,143.5833,9.91,75,3,1.37,AU,1697491575
112,port lincoln,-34.7333,135.8667,11.9,75,4,4.96,AU,1697490924
113,kragero,58.8693,9.4149,6.92,70,64,5.66,NO,1697491575
114,gadzhiyevo,69.2551,33.3362,3.23,82,100,13.48,RU,1697491051
115,wailua homesteads,22.0669,-159.378,28.44,73,20,5.14,US,1697491184
116,guerrero negro,27.9769,-114.0611,27.17,48,20,5.84,MX,1697491279
117,semnan,35.5729,53.3971,18.48,47,99,2.67,IR,1697491419
118,nam som,17.7704,102.1895,21.95,95,76,0.97,TH,1697491575
119,biltine,14.5333,20.9167,31.15,17,37,4.87,TD,1697491575
120,coronel marcelino mariduena,-2.2,-79.4167,32.19,52,87,1.13,EC,1697491576
121,midvagur,62.0511,-7.1939,8.46,93,75,10.8,FO,1697491576
122,mugia,43.1041,-9.2179,21.06,73,96,12.66,ES,1697491576
123,mount isa,-20.7333,139.5,21.87,26,5,7.72,AU,1697491464
124,as suwayq,23.8494,57.4386,29.19,67,73,2.59,OM,1697491576
125,fort scott,37.8398,-94.7083,19.1,32,1,5.13,US,1697491576
126,kayangel,8.0823,134.7173,27.98,77,33,2.55,PW,1697491283
127,ushuaia,-54.8,-68.3,8.81,51,75,6.17,AR,1697491223
128,awjilah,29.1081,21.2869,22.24,48,0,2.36,LY,1697491576
129,st. john's,47.5649,-52.7093,9.43,97,100,11.18,CA,1697491142
130,ibiruba,-28.6275,-53.0897,19.18,94,100,5.91,BR,1697491577
131,puerto colombia,10.9878,-74.9547,30.05,72,31,2.64,CO,1697491577
132,tolanaro,-25.0319,46.9987,21.51,81,100,2.08,MG,1697490971
133,tataouine,32.9297,10.4518,22.63,24,0,2.79,TN,1697491577
134,riohacha,11.5444,-72.9072,30.42,68,33,4.12,CO,1697491288
135,puerto ayora,-0.7393,-90.3518,28.98,90,92,2.68,EC,1697491223
136,west island,-12.1568,96.8225,25.99,83,75,5.66,CC,1697491196
137,kirensk,57.7853,108.1119,3.9,95,100,3.58,RU,1697491577
138,kalmunai,7.4167,81.8167,25.55,85,78,2.28,LK,1697491578
139,mount pearl,47.5166,-52.7813,8.97,97,100,10.8,CA,1697491459
140,cabo san lucas,22.8909,-109.9124,34.23,58,0,3.6,MX,1697491408
141,tazovsky,67.4667,78.7,-1.14,96,99,0.25,RU,1697491046
142,antofagasta,-23.65,-70.4,17.6,74,15,3.34,CL,1697491349
143,tiksi,71.6872,128.8694,-12.55,92,94,3.51,RU,1697491044
144,narvik,68.4384,17.4272,3.54,98,94,1.07,NO,1697491578
145,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,88,75,7.0,RU,1697491275
146,sabha,27.0377,14.4283,23.64,20,0,2.56,LY,1697491578
147,rio blanco,18.8333,-97.15,18.54,92,100,2.91,MX,1697491578
148,malango,-2.9627,119.9001,18.72,94,11,0.84,ID,1697491296
149,masjed soleyman,31.9364,49.3039,27.31,31,99,2.13,IR,1697491579
150,lodeynoye pole,60.726,33.5531,4.1,85,95,2.74,RU,1697491579
151,bengkulu,-3.8004,102.2655,22.96,95,27,1.17,ID,1697491422
152,weno,7.4515,151.8468,26.97,94,75,0.0,FM,1697491180
153,tura,25.5198,90.2201,19.85,90,0,1.71,IN,1697491193
154,ilulissat,69.2167,-51.1,-6.99,79,100,9.26,GL,1697491055
155,hammerfest,70.6634,23.6821,1.25,86,75,9.26,NO,1697491579
156,katsuura,35.1333,140.3,18.18,78,0,3.39,JP,1697491191
157,cascais,38.6979,-9.4215,23.06,96,95,10.28,PT,1697491579
158,golyshmanovo,56.3979,68.3728,8.7,93,55,3.55,RU,1697491580
159,halifax,44.6453,-63.5724,12.49,87,84,5.81,CA,1697490761
160,farasan,16.7022,42.1183,31.38,62,1,1.02,SA,1697491580
161,callao,-12.0667,-77.15,25.95,77,75,4.12,PE,1697491276
162,fort bragg,35.139,-79.006,16.75,52,100,2.57,US,1697491195
163,enewetak,11.3474,162.3373,28.72,77,12,6.95,MH,1697490973
164,kingston,17.997,-76.7936,31.53,76,20,4.12,JM,1697491080
165,cusseta,32.3054,-84.7727,17.56,54,50,5.23,US,1697491580
166,kadugli,11.0167,29.7167,23.98,82,100,2.55,SD,1697491580
167,riberalta,-10.9833,-66.1,33.11,58,75,3.09,BO,1697491580
168,yellowknife,62.456,-114.3525,6.9,99,100,5.14,CA,1697491191
169,sinabang,2.4803,96.3801,26.08,82,100,5.16,ID,1697491466
170,badger,64.8,-147.5333,5.0,76,75,3.09,US,1697490955
171,kapuskasing,49.4169,-82.4331,8.05,71,20,4.12,CA,1697491581
172,prado,-17.3411,-39.2208,23.98,78,0,3.01,BR,1697491356
173,san patricio,28.017,-97.5169,24.92,32,0,5.67,US,1697491581
174,sakakah,29.9697,40.2064,21.76,36,0,3.77,SA,1697491581
175,lisbon,38.7167,-9.1333,22.82,76,75,21.01,PT,1697491442
176,ouddorp,51.8117,3.9347,10.99,82,100,5.61,NL,1697491581
177,toliara,-23.35,43.6667,23.65,70,100,6.21,MG,1697491289
178,roma,43.2128,-75.4557,14.39,69,75,5.66,US,1697491582
179,pyapon,16.2833,95.6833,24.44,91,87,0.91,MM,1697491582
180,cambria,35.5641,-121.0808,32.32,53,57,5.37,US,1697491299
181,salinas,36.6777,-121.6555,29.44,60,0,6.69,US,1697491404
182,oranjemund,-28.55,16.4333,17.1,75,2,3.03,NA,1697491185
183,saipan,15.1355,145.701,27.39,94,20,2.57,MP,1697491195
184,atafu village,-8.5421,-172.5159,28.25,78,62,8.2,TK,1697491250
185,hadibu,12.65,54.0333,27.3,77,26,2.85,YE,1697491240
186,conde,-7.2597,-34.9075,24.7,78,0,4.12,BR,1697491582
187,souillac,-20.5167,57.5167,22.21,88,20,1.54,MU,1697491582
188,sotkamo,64.1333,28.4167,3.01,97,100,3.98,FI,1697491582
